id,street,ward,district,city,code
12908,nguyễn phục,None,sơn trà,đà nẵng,DDN
12909,nguyễn sáng,None,sơn trà,đà nẵng,DDN
12910,nguyễn sỹ cố,None,sơn trà,đà nẵng,DDN
12911,nguyễn thế lộc,None,sơn trà,đà nẵng,DDN
12912,nguyễn thị ba,None,sơn trà,đà nẵng,DDN
12913,nguyễn thị định,None,sơn trà,đà nẵng,DDN
12914,nguyễn thiện kế,None,sơn trà,đà nẵng,DDN
12915,nguyễn thiếp,None,sơn trà,đà nẵng,DDN
12916,nguyễn thông,None,sơn trà,đà nẵng,DDN
12917,nguyễn trọng nghĩa,None,sơn trà,đà nẵng,DDN
12918,nguyễn trực,None,sơn trà,đà nẵng,DDN
12919,nguyễn trung trực,None,sơn trà,đà nẵng,DDN
12920,nguyễn tuân,None,sơn trà,đà nẵng,DDN
12921,nguyễn tuấn thiện,None,sơn trà,đà nẵng,DDN
12922,nguyễn văn côn,None,sơn trà,đà nẵng,DDN
12923,nguyễn văn cừ,None,sơn trà,đà nẵng,DDN
12924,nguyễn văn linh,None,sơn trà,đà nẵng,DDN
12925,nguyễn văn siêu,None,sơn trà,đà nẵng,DDN
12926,nguyễn văn thoại,None,sơn trà,đà nẵng,DDN
12927,nguyễn xuân khoát,None,sơn trà,đà nẵng,DDN
12928,phạm cự lượng,None,sơn trà,đà nẵng,DDN
12929,phạm cực lượng,None,sơn trà,đà nẵng,DDN
12930,phạm hữu kính,None,sơn trà,đà nẵng,DDN
